GEOID,NAME,variable,estimate,moe
45,South Carolina,B27010_051,1017625,2856
45,South Carolina,B27010_052,359183,9085
45,South Carolina,B27010_058,652955,9414
45,South Carolina,B27010_066,5487,1486
46,South Dakota,B27010_002,232993,2221
46,South Dakota,B27010_003,199174,4110
46,South Dakota,B27010_010,17441,2403
46,South Dakota,B27010_017,16378,3044
46,South Dakota,B27010_018,179313,2639
46,South Dakota,B27010_019,139937,4015
46,South Dakota,B27010_026,13364,1747
46,South Dakota,B27010_033,26012,2903
46,South Dakota,B27010_034,325918,2653
46,South Dakota,B27010_035,261158,4761
46,South Dakota,B27010_042,33553,3201
46,South Dakota,B27010_050,31207,2691
46,South Dakota,B27010_051,162040,1328
46,South Dakota,B27010_052,55439,3337
46,South Dakota,B27010_058,105819,3346
46,South Dakota,B27010_066,782,505
47,Tennessee,B27010_002,1645032,6420
47,Tennessee,B27010_003,1420603,14251
47,Tennessee,B27010_010,131574,9290
47,Tennessee,B27010_017,92855,9062
47,Tennessee,B27010_018,1495217,9361
47,Tennessee,B27010_019,1162066,12281
47,Tennessee,B27010_026,99248,6380
47,Tennessee,B27010_033,233903,10139
47,Tennessee,B27010_034,2671622,6603
47,Tennessee,B27010_035,2087193,16981
47,Tennessee,B27010_042,264088,10476
47,Tennessee,B27010_050,320341,13002
47,Tennessee,B27010_051,1221349,4216
47,Tennessee,B27010_052,488054,12505
47,Tennessee,B27010_058,725931,12517
47,Tennessee,B27010_066,7364,1556
48,Texas,B27010_002,7949408,10695
48,Texas,B27010_003,6544931,33493
48,Texas,B27010_010,461939,15862
48,Texas,B27010_017,942538,27789
48,Texas,B27010_018,6710643,16117
48,Texas,B27010_019,4586605,33633
48,Texas,B27010_026,371899,14344
48,Texas,B27010_033,1752139,27489
48,Texas,B27010_034,11256142,11899
48,Texas,B27010_035,8171623,36808
48,Texas,B27010_042,941968,19383
48,Texas,B27010_050,2142551,26782
48,Texas,B27010_051,4104283,6081
48,Texas,B27010_052,1772000,20852
48,Texas,B27010_058,2252473,22030
48,Texas,B27010_066,79810,5172
49,Utah,B27010_002,989401,3520
49,Utah,B27010_003,861836,9488
